22	0	18	18	0	0	18	22	18	18	18	8	18	18	18	12	19	18	18	18	18	20	18	18	39	37	27	39	18	28	31	37	18	18	35	37	18	18	39	18	
22	0	22	22	0	0	22	22	19	19	19	8	19	19	13	19	19	18	19	19	18	20	19	18	39	39	27	19	18	28	31	38	19	19	35	37	19	19	39	19	
20	20	3	21	20	20	3	1	18	20	20	8	20	39	39	12	20	20	20	18	20	20	23	20	38	23	25	38	35	21	31	23	21	21	35	23	20	23	20	20	
21	0	3	21	21	0	3	2	18	20	36	8	36	38	38	12	21	20	20	18	21	21	21	22	21	21	21	21	33	21	29	35	21	21	33	21	22	22	21	36	
22	0	22	22	0	0	22	22	22	36	36	10	36	38	38	12	17	23	22	22	23	22	22	22	22	22	35	22	35	33	31	35	22	22	35	22	22	22	22	36	
22	0	23	22	0	0	2	22	23	23	23	10	23	36	36	12	17	23	23	18	23	22	23	23	37	23	25	37	35	35	31	23	23	23	35	23	23	23	37	36	
24	0	32	24	2	6	34	34	24	12	14	14	24	24	24	14	19	37	39	39	38	24	24	37	24	24	27	24	24	24	31	25	24	32	24	24	39	24	24	24	
32	2	34	32	34	6	25	25	13	12	14	14	25	25	24	14	17	25	37	39	23	25	25	25	25	25	25	26	25	28	31	25	25	34	25	25	37	25	25	25	
32	28	26	34	26	6	28	26	9	15	26	26	13	27	26	26	19	25	39	27	23	26	35	25	27	26	26	26	26	28	26	26	26	34	26	26	39	25	25	27	
24	28	26	24	26	6	28	26	9	15	27	27	13	27	27	27	19	39	39	27	38	27	27	37	27	26	27	27	26	28	27	26	24	34	26	24	39	27	27	27	
28	28	28	28	28	6	28	28	28	38	14	14	28	28	24	14	17	35	28	18	23	33	35	35	28	28	28	26	28	28	31	28	35	28	28	28	37	35	28	28	
3	29	29	29	29	6	29	29	29	38	14	14	29	29	24	14	17	35	28	18	21	29	33	35	29	28	28	26	29	29	29	30	33	29	29	29	37	35	29	29	
3	30	30	29	30	6	30	30	13	15	30	27	38	25	27	27	17	31	37	39	23	29	35	31	25	31	30	30	31	30	30	30	35	29	29	31	37	31	31	38	
31	31	31	34	2	6	28	28	13	38	26	26	38	25	26	26	17	31	37	39	23	35	35	31	25	31	31	26	31	30	31	31	35	31	31	31	37	31	31	38	
32	0	32	32	2	4	32	32	36	36	36	14	36	38	32	14	32	23	32	32	21	32	32	32	32	32	32	24	35	33	31	35	32	32	35	32	32	32	32	38	
3	2	33	33	33	4	33	33	36	36	36	10	36	38	32	14	32	23	33	33	21	33	33	33	32	34	34	26	33	33	29	33	33	33	33	34	33	32	32	38	
34	2	34	34	34	6	34	34	34	34	14	14	34	34	24	14	17	35	37	37	23	33	35	35	34	34	34	26	34	34	29	34	35	34	34	34	37	35	34	34	
32	2	34	32	34	6	34	34	38	35	14	14	38	35	35	14	17	35	37	37	23	35	35	35	35	35	35	24	35	35	31	35	35	34	35	35	37	35	35	38	
22	0	36	36	0	0	36	36	36	36	36	10	36	36	36	12	17	36	36	36	36	22	36	36	39	37	27	39	35	35	31	37	36	36	35	37	36	36	39	36	
37	0	37	37	2	4	37	37	36	36	36	10	36	38	38	14	17	37	37	37	23	22	37	37	37	37	25	37	35	35	31	37	37	32	35	37	37	37	37	38	
38	0	32	38	2	4	34	32	38	38	14	14	38	38	38	14	19	37	39	39	38	38	38	37	38	38	25	38	38	38	31	38	38	32	38	38	39	38	38	38	
38	0	32	38	2	4	34	32	39	39	12	10	39	39	39	12	19	39	39	39	39	22	36	36	39	39	27	39	39	39	31	38	38	32	39	38	39	38	39	39	
